lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,breadthMoho,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,breadthLAB,typeLAB
47.25,-123.5,10.0703,0.6724,0.0931836,0.0443,1,Ps,11.4292,4.92094,0.0249862,0.00414134,27.13,Sp
47.5,-123.5,10.117,0.6724,0.129471,0.0443,1,Ps,11.4196,4.92117,0.0214125,0.0015475,25,Sp
47.75,-123.5,10.2774,0.6724,0.147069,0.0443,1,Ps,11.5896,4.89418,0.0236403,0.00183224,36.847,Sp
48,-123.5,10.471,0.6724,0.158667,0.0443,1,Ps,11.8406,4.80141,0.0242425,0.00254873,23.535,Sp
48.5,-123.5,10.3261,0.6724,0.131829,0.0443,1,Ps,10.7202,5.24931,0.0226971,0.00281765,12.6244,Sp
48.75,-123.5,10.2632,0.6724,0.105667,0.0443,1,Ps,10.7074,5.29155,0.0247469,0.004046,10.3813,Sp
37.25,-123.25,7.11276,0.6724,0.108414,0.0443,1,Ps,14.549,4.66441,0.0298879,0.00410843,12.2093,Sp
37.5,-123.25,7.25316,0.6724,0.104557,0.0443,1,Ps,7.91031,8.16429,0.0335782,0.0037855,26.5728,Sp
37.75,-123.25,7.26234,0.6724,0.106325,0.0443,1,Ps,13.8912,3.535,0.0276972,0,28.0765,Sp
38,-123.25,7.37239,0.6724,0.105597,0.0443,1,Ps,13.3589,5.44454,0.0247836,0.00409607,23.6647,Sp
38.25,-123.25,7.58748,0.6724,0.14406,0.0443,1,Ps,8.47396,7.17478,0.0261107,0.00521544,31.4599,Sp
38.5,-123.25,7.72552,0.6724,0.178556,0.0443,1,Ps,8.76832,6.56686,0.0233243,0.0030343,42.468,Sp
38.75,-123.25,7.96309,0.6724,0.191906,0.0443,1,Ps,13.1265,4.25117,0.0205336,0.000458953,33.2571,Sp
39,-123.25,8.0273,0.6724,0.19479,0.0443,1,Ps,13.9176,4.05243,0.0240634,0.00197329,28.2151,Sp
39.25,-123.25,8.25995,0.6724,0.157053,0.0443,1,Ps,13.9883,3.94957,0.0249585,0.00225056,10.2007,Sp
39.5,-123.25,8.51414,0.6724,0.122065,0.0443,1,Ps,13.9681,3.90748,0.025247,0.00203272,19.2878,Sp
39.75,-123.25,8.6556,0.6724,0.0995014,0.0443,1,Ps,12.2319,4.90764,0.0247387,0.002038,25.31,Sp
40,-123.25,8.71014,0.6724,0.0872128,0.0443,1,Ps,11.9397,4.85653,0.0251038,0.00182677,2.22018,Sp
40.25,-123.25,8.7868,0.6724,0.0707011,0.0443,1,Ps,12.1243,4.74313,0.0228558,0.00173225,24.6487,Sp
40.5,-123.25,8.58001,0.6724,0.0667081,0.0443,1,Ps,12.0988,4.61194,0.0248026,0.00274475,31.9501,Sp
40.75,-123.25,10.3101,0.6724,0.00300276,0.0443,1,Ps,11.9597,4.70183,0.0312531,0.00366435,32.0401,Sp
41,-123.25,10.7154,0.6724,0.00386977,0.0443,1,Ps,11.9209,4.79934,0.0336814,0.00197914,30.2701,Sp
41.25,-123.25,11.034,0.6724,0.00450182,0.0443,1,Ps,12.6186,4.49239,0.029889,0.00187347,40.1801,Sp
41.5,-123.25,11.4884,0.6724,0.00415576,0.0443,1,Ps,12.9403,4.27997,0.0318886,0.00298612,40.09,Sp
41.75,-123.25,11.7078,0.6724,0.00209486,0.0443,1,Ps,12.848,4.35549,0.0364112,0.00185977,42.9599,Sp
42,-123.25,10.2573,0.6724,0.135347,0.0443,1,Ps,12.4019,4.55212,0.0370836,0.00184959,36.8395,Sp
42.25,-123.25,10.0837,0.6724,0.115975,0.0443,1,Ps,11.8601,4.88203,0.0406672,0.00529022,21.8698,Sp
42.5,-123.25,10.0457,0.6724,0.101763,0.0443,1,Ps,11.4548,4.90444,0.0492133,0.00511061,26.7701,Sp
42.75,-123.25,9.99702,0.6724,0.085897,0.0443,1,Ps,11.4451,4.96367,0.0488522,0.00761893,30,Sp
43,-123.25,9.80299,0.6724,0.0788502,0.0443,1,Ps,11.0259,5.22834,0.0401103,0.00912247,21.68,Sp
43.25,-123.25,9.61092,0.6724,0.0752105,0.0443,1,Ps,11.3943,5.3621,0.0236678,0.00670773,36.0998,Sp
43.5,-123.25,9.27006,0.6724,0.0593907,0.0443,1,Ps,12.691,4.43851,0.0231475,0.00232194,44.82,Sp
43.75,-123.25,8.9952,0.6724,0.0499942,0.0443,1,Ps,12.2313,4.64271,0.0279178,0.00339027,30.9197,Sp
