lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,breadthMoho,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,breadthLAB,typeLAB,ttSed,ttSedstd,dvSed,dvSedstd,breadthSed,typeSed
42.5,-118.75,9.81506,0.569249,0.132044,0.0684326,1,Ps,10.5525,0.192719,0.0455213,0.00265896,39.9099752050353,Sp,0.200310707645695,0.110654464190023,0.310832877253111,0.24777532140527,0.001,Ps
42.75,-118.75,9.45969,0.387031,0.134037,0.0514362,1,Ps,10.2976,0.15965,0.0442828,0.00178734,32.7700846875715,Sp,0.185336440055881,0.113018919394561,0.267769015964453,0.245559279665754,0.001,Ps
43,-118.75,9.68837,0.312832,0.151056,0.0807441,1,Ps,9.96831,0.22297,0.0437242,0.0018591,40,Sp,0.250237744517785,0.111630344036791,0.356793251307606,0.274461160730113,0.001,Ps
43.25,-118.75,9.80346,0.30953,0.174465,0.0871451,1,Ps,9.52102,0.12715,0.047704,0.00151214,32.7798123140307,Sp,0.256225020632401,0.115740642715254,0.439024390243903,0.298685261851918,0.001,Ps
43.5,-118.75,9.91731,0.444339,0.169439,0.0837871,1,Ps,9.49448,0.0950775,0.0462222,0.00276797,39.7299256151059,Sp,0.278118194219604,0.115456911610247,0.460486329772105,0.310837834682393,0.001,Ps
43.75,-118.75,9.918,0.495181,0.125004,0.0720522,1,Ps,9.62774,0.125812,0.0399521,0.00376579,24.0693904020752,Sp,0.294186147838079,0.111129859799595,0.454348503437129,0.328812894661355,0.001,Ps
44,-118.75,9.87126,0.493677,0.107193,0.0629959,1,Ps,9.97455,0.690149,0.0322605,0.00540279,34.4403616350355,Sp,0.269837113652544,0.108463135721049,0.430190277658795,0.334158277080915,0.001,Ps
44.25,-118.75,9.84858,0.624449,0.115973,0.0594246,1,Ps,11.3913,0.719821,0.0236965,0.003335,47.9598687724117,Sp,0.19641389953914,0.107994807517877,0.339928562828591,0.294777660921739,0.001,Ps
44.5,-118.75,9.67819,0.563702,0.133322,0.0441617,1,Ps,10.9923,0.563689,0.0226822,0.00381028,27.2201808175177,Sp,0.127345036024916,0.105171591872506,0.260166074142934,0.270183256659568,0.001,Ps
44.75,-118.75,9.8732,0.620321,0.105625,0.0454514,1,Ps,10.8131,0.124888,0.0332537,0.0047013,31.4696345464256,Sp,0.168804991757225,0.107599251173176,0.32480949526019,0.291845744951708,0.001,Ps
45,-118.75,10.2968,0.608965,0.0746395,0.0461544,1,Ps,10.8555,0.12429,0.0361308,0.00297965,35.9197375448234,Sp,0.187126606628213,0.107105584862954,0.389578689959484,0.320241914796178,0.001,Ps
33,-118.5,6.63526,0.28073,0.103042,0.0613814,1,Ps,13.0928,0.158281,0.0281429,0.0027201,15.2700743848941,Sp,0.649457100727142,0.127603278002729,0.769542451065952,0.487430552160602,0.001,Ps
33.25,-118.5,6.69219,0.298107,0.0901093,0.0524625,1,Ps,13.0376,0.190545,0.0240571,0.00160061,10.4600595101854,Sp,0.471344264418753,0.110258372190003,0.432231017706173,0.307853594834112,0.001,Ps
33.5,-118.5,7.00482,0.372054,0.0901222,0.0536182,1,Ps,13.0088,0.223101,0.0231322,0.00170859,10.5579306021193,Sp,0.419086471291473,0.109242078398134,0.406614323102546,0.303738823102202,0.001,Ps
33.75,-118.5,7.64575,0.305074,0.170053,0.0713865,1,Ps,12.519,0.127553,0.037075,0.00262504,13.0579306021193,Sp,0.401121696519145,0.116279184203178,0.59753643415885,0.365425827585736,0.001,Ps
34,-118.5,7.99285,0.377294,0.115544,0.0594303,1,Ps,12.3395,0.0946975,0.0403162,0.00250049,27.7797917086759,Sp,0.344412906136771,0.10013006874482,0.290423151058848,0.201297062806807,0.001,Ps
